objectid,street_num,street_name,longitude,latitude,meter_type,point
202387,397,BRANNAN ST,-122.3940613006,37.7801518989,SS,"(37.780151899169994, -122.39406130050486)"
202400,635,03RD ST,-122.3933953975,37.7794874989,SS,"(37.779487499374184, -122.39339539778219)"
202455,943,FOLSOM ST,-122.40441680110001,37.7793311988,SS,"(37.77933119895835, -122.40441680127607)"
202510,718,03RD ST,-122.3923214019,37.7783844014,SS,"(37.77838440089885, -122.392321402427)"
202514,160,STILLMAN ST,-122.39798139940001,37.7805082024,MS,"(37.78050820162157, -122.39798139901394)"
202518,535,BRYANT ST,-122.39662869989999,37.7805676022,SS,"(37.780567602217104, -122.3966287001153)"
202546,833,HARRISON ST,-122.40062130209999,37.77986930020001,SS,"(37.77986930042825, -122.40062130236974)"
202549,7,BLUXOME ST,-122.395857314,37.777512575500005,SS,"(37.77751257542723, -122.3958573140868)"
202583,853,FOLSOM ST,-122.4024378003,37.780891898,SS,"(37.7808918984399, -122.40243779943526)"
202600,127,SOUTH PARK,-122.39486619799999,37.7807509982,MS,"(37.78075099764055, -122.39486619841216)"
202608,312,TOWNSEND ST,-122.3953169374,37.776969894699995,-,"(37.77696989466442, -122.39531693744107)"
202623,628,03RD ST,-122.393676398,37.779468298800005,SS,"(37.77946829858851, -122.39367639852178)"
202633,4,BLUXOME ST,-122.3960444306,37.777558703400004,MS,"(37.77755870287108, -122.39604443056298)"
202676,606,BRYANT ST,-122.3984449019,37.7793882013,SS,"(37.77938820060875, -122.39844490189107)"
202694,440,BRANNAN ST,-122.3952252005,37.779474602,SS,"(37.7794746020426, -122.39522520124542)"
202702,670,EMBARCADERO SOUTH,-122.3884464984,37.7824168009,SS,"(37.782416801409354, -122.38844649811416)"
202733,187,TOWNSEND ST,-122.392415203,37.778996884200005,MS,"(37.77899688403328, -122.39241520320594)"
202770,492,BRANNAN ST,-122.3964178001,37.778532498400004,SS,"(37.778532497990454, -122.39641779977138)"
202790,717,03RD ST,-122.3922356998,37.778564701700006,SS,"(37.77856470169235, -122.39223570051364)"
202828,440,05TH ST,-122.4008357001,37.7781030991,SS,"(37.77810309897354, -122.40083569994901)"
202843,921,FOLSOM ST,-122.40387173280001,37.779762907000006,SS,"(37.77976290740432, -122.4038717329394)"
202846,523,BRANNAN ST,-122.397033852,37.7777990907,SS,"(37.77779909108, -122.39703385212287)"
202942,248,05TH ST,-122.403896799,37.7805500002,-,"(37.78055000032839, -122.40389679942008)"
203078,20,TERRY A FRANCOIS BLVD,-122.3890723974,37.776248502399994,SS,"(37.77624850169272, -122.3890723975549)"
203079,805,BRYANT ST,-122.4026161001,37.7758382027,SS,"(37.77583820265433, -122.40261610014903)"
203109,135,BERRY ST,-122.3919417017,37.7767881014,SS,"(37.77678810117152, -122.39194170150628)"
203128,131,BERRY ST,-122.3918184989,37.776885298,SS,"(37.776885297846476, -122.39181849857717)"
203147,553,MISSION ST,-122.3987211023,37.7887514018,SS,"(37.78875140158922, -122.39872110232093)"
203149,162,BERRY ST,-122.39274300049999,37.7763601997,SS,"(37.77636019974024, -122.39274299959979)"
203178,34,BLUXOME ST,-122.39678910159999,37.77698860210001,SS,"(37.77698860219975, -122.39678910244149)"
203216,211,POST ST,-122.4056931024,37.7885821992,SS,"(37.78858219937321, -122.40569310209818)"
203276,203,GRANT AVE,-122.405301701,37.7887940993,MS,"(37.788794098636245, -122.40530170079572)"
203303,211,GRANT AVE,-122.4053481982,37.789019600399996,MS,"(37.7890196002051, -122.4053481976589)"
203313,237,BERRY ST,-122.3943691232,37.774892819,SS,"(37.774892818830565, -122.39436912277752)"
203397,722,BRANNAN ST,-122.4017646999,37.7743129981,SS,"(37.77431299815434, -122.4017646994873)"
203457,348,TOWNSEND ST,-122.3960290197,37.7764096071,MS,"(37.77640960675021, -122.39602902036862)"
203492,161,BLUXOME ST,-122.3991130181,37.774954804900005,MS,"(37.77495480540715, -122.39911301760422)"
203551,353,TOWNSEND ST,-122.3961117156,37.7760333044,MS,"(37.77603330386712, -122.39611171547855)"
203583,501,TOWNSEND ST,-122.40023238709999,37.772789361300006,MS,"(37.77278936109318, -122.40023238727626)"
203584,535,TOWNSEND ST,-122.4001840456,37.7728274775,MS,"(37.77282747731703, -122.40018404573863)"
203595,505,TOWNSEND ST,-122.39980538520001,37.773126042600005,MS,"(37.77312604275333, -122.39980538491962)"
203643,257,CHANNEL ST,-122.3930719047,37.773145980200006,SS,"(37.773145980081814, -122.39307190551504)"
203644,261,CHANNEL ST,-122.39322212540002,37.7730314975,SS,"(37.77303149756152, -122.39322212535265)"
203714,651,LONG BRIDGE ST,-122.3926230001,37.772438493,SS,"(37.77243849326145, -122.39262299971097)"
203834,381,TOWNSEND ST,-122.39693431549999,37.775386003499996,MS,"(37.77538600315079, -122.39693431641504)"
203993,541,MISSION ST,-122.398460321,37.7889575432,SS,"(37.78895754264648, -122.39846032060898)"
204074,659,MISSION ST,-122.40108569870002,37.7868831986,SS,"(37.78688319874734, -122.40108569891976)"
204080,563,HOWARD ST,-122.3974479974,37.7872932021,SS,"(37.787293201650236, -122.39744799737576)"
204139,223,POWELL ST,-122.4082246162,37.7870039025,-,"(37.787003902861386, -122.40822461569569)"
204154,466,SPEAR ST,-122.38856110129998,37.7880456009,SS,"(37.78804560105899, -122.38856110139494)"
204177,120,JESSIE ST,-122.40088370040002,37.7880660024,MS,"(37.78806600200606, -122.40088369945364)"
204272,481,SPEAR ST,-122.3883768001,37.788103201300004,SS,"(37.78810320110711, -122.38837680031004)"
204325,306,FREMONT ST,-122.39341369799999,37.7877246019,SS,"(37.7877246019202, -122.39341369821891)"
204336,14,POST ST,-122.4026050025,37.789080100999996,SS,"(37.789080100881506, -122.40260500172663)"
