objectid,street_num,street_name,longitude,latitude,meter_type
205711,31,KAPLAN LN,-122.398964999,37.7850121007,MS
205741,65,HAWTHORNE ST,-122.3980204982,37.7848938991,SS
205790,631,HARRISON ST,-122.39614681479999,37.7833940067,MS
205822,343,BRYANT ST,-122.392449198,37.7838971008,SS
205837,350,BRYANT ST,-122.39251446729999,37.7839702498,SS
205878,511,HARRISON ST,-122.3931371008,37.785777502600006,SS
205887,556,FOLSOM ST,-122.3960307014,37.786194899,-
205913,147,NEW MONTGOMERY ST,-122.3990902022,37.786376099,SS
205937,609,HARRISON ST,-122.3953946994,37.7839857981,SS
205961,13,GRANT AVE,-122.40501929790001,37.787314101,SS
206008,340,BRYANT ST,-122.3924219306,37.7840380841,SS
206048,336,BAY ST,-122.41330589889999,37.80573180220001,SS
206099,2326,POLK ST,-122.4221895986,37.7984193013,SS
206149,2327,POLK ST,-122.4223435016,37.7984042977,SS
206157,43,JEFFERSON ST,-122.41398739790002,37.8083857027,-
206161,188,BRANNAN ST,-122.38971989950001,37.783829498,SS
206167,726,FOLSOM ST,-122.3997448009,37.78326189790001,SS
206182,2614,TAYLOR ST,-122.4154656024,37.806863001500005,SS
206184,1029,COLUMBUS AVE,-122.4158008003,37.804082299499996,SS
206194,1201,COLUMBUS AVE,-122.4175106024,37.80525910190001,SS
206197,1511,UNION ST,-122.4245470983,37.798418401599996,SS
206238,315,JEFFERSON ST,-122.41803690209998,37.8078785976,-
206248,717,FOLSOM ST,-122.3994087984,37.7832851996,SS
206324,1224,COLUMBUS AVE,-122.41798179940001,37.8058097986,SS
206342,2522,TAYLOR ST,-122.41530659770001,37.8060768013,SS
206383,651,HARRISON ST,-122.3965582975,37.7830701982,SS
206423,2809,HYDE ST,-122.42069589879999,37.80694129960001,SS
206430,518,JEFFERSON ST,-122.42110049879999,37.807611298699996,SS
206434,2516,MASON ST,-122.4138340985,37.807113698600006,SS
206442,225,JEFFERSON ST,-122.4167785996,37.808041301500005,-
206480,535,NORTH POINT ST,-122.41664000200001,37.80612699770001,SS
206487,1529,UNION ST,-122.4250372999,37.798356101799996,SS
206535,338,03RD ST,-122.3983685986,37.7832129978,SS
206544,402,BRYANT ST,-122.3938192983,37.783046097399996,SS
206557,720,BEACH ST,-122.4213945975,37.8066177023,SS
206563,736,BEACH ST,-122.4219939985,37.80654019760001,SS
206627,635,DELANCEY ST,-122.389385998,37.783365302600004,SS
206674,434,BEACH ST,-122.4169796982,37.8071625986,SS
206693,3018,LARKIN ST,-122.42206540120002,37.806124399299996,SS
206748,2918,LEAVENWORTH ST,-122.41910977459999,37.808263954500006,-
206799,810,BEACH ST,-122.4227028002,37.806426499900006,SS
206841,2807,HYDE ST,-122.4206862987,37.806891997300006,SS
206913,332,BEACH ST,-122.4152680018,37.807373001200006,SS
206929,540,NORTH POINT ST,-122.4168421009,37.806238901700006,SS
206978,657,HARRISON ST,-122.3967213982,37.7829417986,SS
207059,2134,POLK ST,-122.421850098,37.7967386012,SS
207060,1541,VALLEJO ST,-122.42322280229999,37.7966815987,SS
207088,2307,POLK ST,-122.4222692994,37.798037097699996,SS
207117,633,FILBERT ST,-122.41042689950001,37.8011858993,SS
207216,26,FRANCISCO ST,-122.4063355976,37.805628000700004,SS
207245,1338,EMBARCADERO NORTH,-122.4057280996,37.8068344974,SS
207381,1602,JACKSON ST,-122.42159770219999,37.7941732974,SS
207387,2225,GRANT AVE,-122.40909150030001,37.807928000500006,SS
207499,1529,GRANT AVE,-122.40779519979999,37.801429097399996,-
207513,917,COLUMBUS AVE,-122.414264498,37.80301470210001,SS
207564,1630,PACIFIC AVE,-122.4225553011,37.7949569997,SS
207578,1527,JACKSON ST,-122.42071219879999,37.794178002399995,SS
207581,924,COLUMBUS AVE,-122.4143898019,37.803318099,SS
207588,705,FILBERT ST,-122.4111080018,37.801096101199995,MS
207604,1618,JACKSON ST,-122.42211430120001,37.7941077006,SS
207658,1614,STOCKTON ST,-122.40920480129999,37.8008674988,SS
207662,2416,POLK ST,-122.4223539007,37.799232502399995,SS
207668,1502,GRANT AVE,-122.40756309940001,37.8007925981,SS
207682,2136,POLK ST,-122.42185270200001,37.796751699299996,SS
207693,1807,POWELL ST,-122.4111437981,37.801421598400005,SS
207773,1209,EMBARCADERO NORTH,-122.4038045292,37.805215047,SS
207818,923,COLUMBUS AVE,-122.41441860209999,37.80312020230001,SS
207855,2031,POLK ST,-122.4217846018,37.7956378003,SS
207863,1709,POWELL ST,-122.41096330219999,37.80050170130001,SS
207868,916,NORTH POINT ST,-122.4226957985,37.80547680230001,SS
207877,2127,VAN NESS AVE,-122.42353009959999,37.795508702199996,SS
207923,1754,POWELL ST,-122.4109020975,37.8010116004,SS
207928,1603,STOCKTON ST,-122.4092787017,37.800605497199996,SS
208008,1543,JACKSON ST,-122.4211653021,37.7941205026,-
208051,8,MASON ST,-122.4091015977,37.7836776012,SS
208054,313,TAYLOR ST,-122.4113201981,37.7855379981,SS
208062,1427,POWELL ST,-122.4104811025,37.7981645976,SS
208085,244,07TH ST,-122.4084949994,37.7771480986,SS
208089,305,ELLIS ST,-122.41147220110001,37.7849721973,-
208154,316,OFARRELL ST,-122.4102328976,37.7861984027,SS
208157,332,GEARY ST,-122.4094035027,37.7872607977,SS
219195,106,FELL ST,-122.4198893027,37.7763869994,MS
208183,327,TAYLOR ST,-122.4113782008,37.7858277996,SS
208278,414,OFARRELL ST,-122.41188820049999,37.7859915988,SS
208322,1003,HOWARD ST,-122.4073046015,37.779509599200004,-
208354,1423,POWELL ST,-122.4104615,37.7980619025,SS
208359,135,EDDY ST,-122.4104015973,37.784150402,SS
208437,252,06TH ST,-122.4060328991,37.778717101400005,SS
208486,1058,HARRISON ST,-122.4057152026,37.776105401,SS
208496,610,VALLEJO ST,-122.4076336023,37.7987767001,SS
208523,326,OFARRELL ST,-122.4105923974,37.7861526989,SS
208562,1306,STOCKTON ST,-122.4086009019,37.797865101,MS
208618,111,CYRIL MAGNIN ST,-122.408897001,37.7857797992,SS
208648,101,CYRIL MAGNIN ST,-122.4087730997,37.7854849015,-
208653,243,ELLIS ST,-122.41064989729999,37.7850728975,SS
208662,5,MASON ST,-122.40923720010001,37.7836538021,-
208703,949,MISSION ST,-122.407519899,37.781800898600004,SS
208775,134,06TH ST,-122.4079494995,37.7802473017,SS
208782,110,06TH ST,-122.40845639790001,37.7806513988,SS
208797,132,MASON ST,-122.4093859767,37.7850647477,MS
207629,2235,POLK ST,-122.4221910012,37.7976497979,SS
208802,140,MASON ST,-122.40939344959999,37.7851026441,SS
208837,423,TAYLOR ST,-122.4115501235,37.7866948338,SS
208843,1328,STOCKTON ST,-122.4087231995,37.7984771979,MS
208891,1043,HOWARD ST,-122.4081072022,37.7788749997,SS
208933,1048,HARRISON ST,-122.40540749739999,37.7763473027,SS
208954,251,07TH ST,-122.4081648027,37.777127998800005,SS
208966,1038,HOWARD ST,-122.4081187022,37.7790927001,SS
208975,1027,HARRISON ST,-122.4047602021,37.77659930190001,SS
209044,14,06TH ST,-122.40985519780001,37.7817621016,SS
209101,1152,HOWARD ST,-122.41069999870001,37.7770514999,SS
209112,209,EDDY ST,-122.4113712997,37.7840314013,SS
209172,201,08TH ST,-122.4113756024,37.77615650270001,SS
209182,1192,MISSION ST,-122.4130914004,37.777605800799996,SS
209272,128,HYDE ST,-122.4155682025,37.7823625979,SS
209281,225,GOLDEN GATE AVE,-122.4147315156,37.7816850037,-
209297,247,08TH ST,-122.41047349729999,37.775431501599996,MS
209332,111,08TH ST,-122.4127018989,37.77721029790001,SS
209336,226,EDDY ST,-122.4118172002,37.784099602,SS
209355,245,TURK ST,-122.4138864015,37.7827540998,-
209382,207,GOLDEN GATE AVE,-122.4142091998,37.781751098899996,SS
209396,202,08TH ST,-122.4115204026,37.776028701,-
209407,1063,HOWARD ST,-122.40860170100001,37.77848390010001,SS
209463,1118,MISSION ST,-122.4115537011,37.7788196009,SS
209532,326,JONES ST,-122.4126565025,37.784631299699996,SS
209534,148,EDDY ST,-122.4108304993,37.7842207988,-
209535,146,EDDY ST,-122.41081699889999,37.7842224975,-
209564,5,06TH ST,-122.40998305040002,37.782106404400004,-
209602,6,06TH ST,-122.41007369729999,37.7819356014,SS
209662,60,HYDE ST,-122.41531549930001,37.7811094978,MS
209770,160,08TH ST,-122.4118776883,37.7763122486,SS
209797,108,MCALLISTER ST,-122.4140190455,37.780946098600005,MS
209846,344,09TH ST,-122.4106738024,37.77288810250001,SS
209882,1123,MISSION ST,-122.4116051006,37.778582000300005,SS
209940,1176,MISSION ST,-122.4126815979,37.777929202600006,-
209956,1047,MISSION ST,-122.4097160024,37.7800701977,SS
209967,1032,MISSION ST,-122.4096662317,37.7803127169,SS
209987,108,MCALLISTER ST,-122.4140057511,37.7809477463,MS
209993,228,HYDE ST,-122.4157653001,37.7833499023,SS
210005,24,06TH ST,-122.4096268022,37.7815807004,SS
210010,19,JONES ST,-122.4122057808,37.781683478699996,SS
210047,621,GRANT AVE,-122.40611129790001,37.7930871983,SS
210089,1245,HOWARD ST,-122.41253589809999,37.775372800300005,SS
210110,162,09TH ST,-122.41342621860001,37.7750823048,SS
210169,208,LARKIN ST,-122.4167139975,37.779840997300006,-
210179,1707,WASHINGTON ST,-122.4215290991,37.7931716991,SS
210206,520,KEARNY ST,-122.4044936017,37.7933840015,MS
210235,1233,HOWARD ST,-122.4123079329,37.775553103200004,SS
210295,260,10TH ST,-122.4130630975,37.772885900800006,SS
210374,1652,CLAY ST,-122.4206409973,37.792489501599995,SS
210397,37,HYDE ST,-122.41530160209999,37.7802337007,SS
210407,1647,WASHINGTON ST,-122.4206992013,37.7932768025,SS
210412,22,09TH ST,-122.4157838188,37.776960203200005,SS
210444,51,GROVE ST,-122.4168638994,37.778563902600006,MS
210470,238,10TH ST,-122.4135028009,37.7732367002,SS
210472,1320,HOWARD ST,-122.41380249870001,37.774603000700004,SS
210507,12,HYDE ST,-122.41495140059999,37.7793130995,SS
210555,1743,CLAY ST,-122.42207390040001,37.792199599499995,SS
210558,26,09TH ST,-122.4157323148,37.7769190033,SS
210578,602,PINE ST,-122.4059299023,37.791533701999995,SS
210589,620,PINE ST,-122.4064820015,37.791463998000005,SS
210598,1234,MISSION ST,-122.4140844994,37.7768217017,SS
210772,15,GROVE ST,-122.4156497025,37.7786923022,MS
210788,1637,CLAY ST,-122.42036280200001,37.7924170987,SS
210797,177,FULTON ST,-122.4165135492,37.7794707979,MS
210819,52,08TH ST,-122.4135721025,37.77766170250001,SS
210913,118,FULTON ST,-122.4155356195,37.7798769043,MS
210936,5,09TH ST,-122.4159695,37.7773524997,SS
210963,823,SACRAMENTO ST,-122.40691900040001,37.7932365023,SS
210969,1646,WASHINGTON ST,-122.42069379770001,37.7933851973,SS
211075,531,SUTTER ST,-122.4097631981,37.789014498600004,SS
211087,630,TAYLOR ST,-122.4117955972,37.7886961986,SS
211112,1328,POLK ST,-122.42035269899999,37.789312402600004,SS
211151,530,MASON ST,-122.4101357181,37.788817902800005,-
